item,frequency(N30K600),frequency(N60K1200),frequency(N90K1800),frequency(N120K2400),frequency(N150K3000),frequency(N180K3600),frequency(N210K4200),frequency(N240K4800)
Consumer Brands,85,70,85,70,20,70,25,70
Men,40,20,20,20,20,20,20,20
Movies,395,355,345,355,345,330,345,355
MP3 Music Services,55,40,30,5,10,30,10,5
Music Groups,65,45,15,35,5,5,20,5
New Products,35,25,10,25,20,5,5,5
News Resources,150,35,135,15,5,25,5,10
Retailers,35,10,35,10,10,10,35,10
Sports,135,110,110,105,105,100,110,105
TV Shows,355,310,310,310,310,305,310,310
Video Games,60,50,45,50,45,45,40,45
Women,60,55,40,50,20,40,20,20
Athletes,145,135,145,125,125,135,125,125
Kids' Images,60,10,10,5,5,5,10,5
Musicians and Bands,65,55,55,50,45,45,45,45
News Stories,70,65,20,20,20,20,20,20
Technology,55,45,40,35,35,35,35,35
Travel Destinations,120,115,85,95,70,80,85,80
Marques,40,20,20,15,10,10,5,10
Personnalités,30,30,25,25,25,25,25,25
Tendances de l'année,30,20,20,20,20,20,20,20
Die häufigsten Suchbegriffe,15,15,10,10,10,10,10,10
Meist gesuchte Automarken,15,5,5,5,10,5,5,5
Meist gesuchte Musiker 2002,15,5,15,5,15,5,5,5
Searches,655,645,630,620,635,620,620,620
Anime Images,5,5,5,5,5,5,5,5
Earthquake Searches,15,10,5,5,5,5,5,5
Fictional Character Images,60,25,35,10,35,20,20,10
Male Celebrity Images,65,10,30,10,30,10,25,10
News Searches,55,50,35,35,35,35,40,35
Popular Movies,65,55,25,40,15,15,15,40
Popular Queries,75,45,60,30,35,35,25,30
Popular Sports-Related Queries,105,35,75,30,10,5,65,30
Popular Brands,30,25,10,10,25,10,10,10
Popular Music,20,10,20,10,5,10,5,5
Femmes célèbres,395,355,30,355,35,10,20,355
Hommes célèbres,20,5,15,5,5,5,10,5
Beliebte Filme,30,5,15,5,10,5,5,5
Beliebte Suchanfragen,50,35,10,25,35,10,25,25
Beliebte Suchanfragen aus dem Reisebereich,55,35,20,30,25,20,5,5
Popular Italian Singers,60,15,15,5,5,5,15,5
Popular Men,25,20,25,20,15,20,10,20
Travel,35,25,20,20,15,20,15,20
Car Images,75,65,15,35,40,10,5,10
Cartoons Images,70,45,45,40,35,40,5,15
Companies,35,35,30,35,5,30,10,10
Countries,20,5,5,5,10,5,5,5
Deaths of 2004,65,55,5,25,30,5,5,5
Entertainment,75,65,60,55,60,50,50,55
Female Celebrity Images,30,25,10,20,10,5,5,5
Foods,55,10,15,10,10,5,5,10
Froogle Brand Searches,15,15,10,5,5,10,5,5
Froogle Clothing Searches,15,10,10,5,10,10,5,5
Froogle Computer Goods Searches,55,25,30,15,15,15,15,5
Froogle Electronics Searches,30,10,10,10,5,5,5,10
Froogle Hobby Searches,30,10,10,10,5,5,5,10
Froogle Shoe Searches,125,45,55,5,30,45,25,5
Health Services,165,30,60,25,5,25,10,25
Hotel Chains,25,20,15,15,5,10,5,10
News Outlets,35,10,30,10,15,5,5,5
Professional Services,45,10,10,10,25,5,5,5
Public Figures,35,15,30,10,10,10,30,5
Retail Chains,30,25,20,15,5,15,15,5
Sports Services,25,10,5,5,10,5,5,5
Froogle Searches,15,15,5,15,5,5,5,15
Most Searched,35,20,25,15,15,15,15,15
Deaths of 2006,45,30,25,20,20,20,15,20
Define...,45,20,20,10,10,5,5,5
Divorces,170,165,15,45,10,10,120,10
How to...,215,210,175,190,185,175,185,185
Jerseys,75,45,15,15,35,10,30,15
Retirements,35,30,5,25,25,5,5,5
Weddings,55,45,50,30,35,40,25,20
What is...,165,135,105,100,110,100,100,100
Where is...,45,30,10,10,10,10,15,10
Who is...,80,15,80,15,80,15,15,15
Movie Showtimes,105,30,30,25,45,10,25,15
Scandals,25,15,10,10,15,10,5,10
Tickets,10,10,10,10,10,10,10,10
Deaths of 2007,10,5,5,5,5,5,10,5
Diets,65,65,65,65,65,65,65,65
Fitness,45,15,10,15,15,10,20,15
How To,70,20,30,20,25,20,25,20
Lawsuits,35,25,10,20,10,10,20,10
Lyrics,100,90,60,80,60,50,45,80
Presidential Campaign,25,10,10,10,5,10,5,10
Recipes,195,190,175,190,175,175,175,190
Ringtones,60,15,50,5,20,15,5,5
What is,60,40,40,35,35,35,20,20
Who is,5,5,5,5,5,5,5,5
Campaign Buzzwords,85,45,40,5,5,40,45,5
Cocktails,35,35,25,30,30,25,30,25
Comfort Foods,25,10,5,10,15,5,5,5
Concerts,195,190,15,190,15,15,15,190
Deaths of 2008,10,5,5,5,5,5,5,5
DIY,40,35,35,15,15,35,15,15
How To...,50,40,30,40,35,30,25,30
It's All Over Now,40,25,20,20,10,15,25,15
Mascots,10,10,5,5,5,5,5,5
MLB,20,5,10,5,5,5,5,5
Movie Trailers,30,10,30,5,10,10,25,5
NBA Teams,75,65,35,30,40,30,35,30
NFL Teams,230,35,35,35,35,30,35,35
NHL Teams,60,25,35,15,35,20,20,15
Olympic Sports,15,15,10,10,10,10,5,5
Political News Sources,105,105,5,10,100,5,5,10
Reality Shows,25,15,5,5,5,5,5,5
Rivalries,45,40,15,25,25,15,5,15
Soccer Teams,125,65,20,65,10,20,20,15
Social Networks,20,20,5,10,10,5,5,10
What Is...,35,30,20,25,25,20,20,20
Conflicto del Campo,25,15,15,15,10,5,5,10
Economia,340,255,55,230,30,40,5,230
Fútbol,70,60,15,40,30,10,20,25
Google,45,15,25,10,10,10,15,10
Más Popular,65,20,10,15,35,10,40,10
Most Popular,95,60,60,50,55,55,50,50
Top Crises,35,10,10,5,5,5,15,5
Top Movies,30,20,15,15,10,10,10,10
Top Olympians,10,10,10,5,10,10,5,5
Top Stores,15,5,5,5,15,5,5,5
Die Häufigsten Suchbegriffe 2008,55,10,10,10,35,10,15,10
Meist Gesuchte Automarken 2008,15,15,10,15,5,10,5,10
Meist Gesuchte Personen 2008,25,10,10,10,10,5,10,5
Meist Gesuchte Skandale 2008,30,20,20,5,5,15,10,5
Meistgesuchte Rezepte 2008,15,10,10,5,5,10,5,5
Celebridades,70,45,45,40,35,40,35,25
Eleições 2008,40,35,5,30,10,5,10,25
Futebol,20,10,15,5,10,5,5,5
Mais Pesquisados,15,5,5,5,5,5,5,5
Relaciondada com o Google,45,35,15,25,5,10,5,15
Top Celebrities,75,45,45,35,20,30,15,15
Top News Sources,30,10,10,5,5,10,5,5
Top Personal Electronics,70,60,25,30,25,25,10,30
Top Political Parties,15,15,10,10,5,10,5,10
Economía y Política,15,15,5,15,15,5,5,10
Más Populares,40,35,35,20,20,35,25,20
Personajes Del Año,20,15,15,5,5,10,5,5
年度搜索最多 ,50,45,5,40,10,5,40,40
年度搜索最多的“是什么”,10,10,10,5,5,10,10,5
年度新词汇,20,5,5,5,5,5,5,5
年度热点中国事件,65,45,45,5,5,45,5,5
年度热点国际事件,45,35,20,15,10,20,5,5
Economía,15,15,15,5,5,15,15,5
Escándalos,65,45,25,10,10,20,10,10
Los Viajes,90,75,45,40,5,40,10,5
Universidades,20,10,10,5,10,5,10,5
"Kauzy Ceských Politiků, Slavných A Bohatých",55,20,15,10,15,5,10,5
Nejvyhledávanější,75,15,10,10,5,10,5,5
Oblíbené Sporty v Čechách,15,10,10,10,5,5,5,5
České Celebrity,45,20,10,20,5,5,5,20
"Český, česká, české...",70,25,45,20,10,5,5,10
Film og TV,20,10,15,10,5,5,5,5
Kendte,55,50,10,15,10,10,5,5
Medier,85,35,25,25,15,25,15,5
Mest Populære,15,10,5,5,5,5,5,5
Rejser og Ferier,45,20,30,20,5,5,5,20
Top Companies,70,10,15,10,30,5,10,5
Top Finnish Celebrities,70,50,40,35,15,40,50,15
Top Finnish Cities,25,15,10,15,5,10,5,10
Top Media,20,10,20,10,15,10,5,5
Clubs et Fédération,50,45,50,45,5,45,5,20
Jeux en ligne,145,10,145,10,5,10,5,5
Recherches,60,50,30,40,30,30,25,25
Beliebteste Bildersuchen,35,10,25,10,10,5,10,10
Meistgesuchte Bücher,55,15,25,5,5,10,5,5
Meistgesuchte Nachrichten,40,30,20,20,10,20,10,5
Meistgesuchte Personen,20,15,15,10,15,10,10,10
人物,165,160,35,65,25,35,35,60
數碼產品,10,5,5,5,5,5,5,5
新聞,20,10,5,10,10,5,10,5
熱門關鍵字,70,10,65,10,10,10,15,5
社會時事,35,20,15,20,15,10,10,10
Top 'How To' Searches,25,15,20,5,5,10,5,5
Top Bollywood Celebrities,155,50,10,45,110,10,105,45
Top Holiday Destinations,45,35,10,10,15,10,5,5
Top Searches On Mobile,50,40,20,40,15,10,10,30
Concerto,25,15,10,15,10,10,10,5
Incentivi,25,15,15,5,15,5,5,5
Programmi Televisivi,10,5,5,5,5,5,10,5
Ricerche Più Popolari ,115,55,15,20,65,10,45,15
Ricette,60,40,40,35,55,35,35,35
Car Brands,60,40,20,15,15,20,15,15
Google News Local Searches,60,55,15,15,15,15,35,15
Local Celebrities,120,115,15,115,20,15,115,15
Local Travel Destinations,70,55,10,30,25,10,30,10
Conciertos en México,25,5,5,5,5,5,5,5
Escándalos de Celebridades,45,35,40,10,5,35,30,10
Futbol,20,5,10,5,5,5,5,5
Reforma Energética,40,20,15,15,10,10,15,5
Kaartjes,55,20,10,10,20,5,10,5
Meest Populair,55,10,40,10,5,5,5,10
Top 'John' Searches,65,20,10,15,35,10,5,10
Top 'Tickets' Searches,35,25,10,20,10,10,20,10
Top 'Who Is' Searches,40,10,5,5,10,5,5,5
Top Celebrities Searches,230,35,195,35,35,5,180,35
Celebrities,340,85,285,70,65,70,285,70
Fillipino-Related,70,60,15,30,5,10,10,10
Finanse I Praca,20,15,15,10,5,10,5,10
Inspiracje,30,30,10,20,15,10,10,20
Najczęściej Wyszukiwane,60,20,40,5,5,5,5,5
Programy TV,55,50,15,50,10,10,10,10
Sławni,50,45,10,45,5,10,15,45
"""Кто такой..?""",45,45,5,30,5,5,10,5
"""Я хочу изменить...""",35,20,5,10,10,5,5,5
Люди,70,60,65,50,50,55,45,50
Популярные запросы,35,15,25,15,20,10,10,10
События,155,50,40,45,40,35,30,45
Hawker Centres,25,25,10,5,5,10,5,5
Local Foods,50,25,30,25,10,10,5,15
Top Local Celebs,40,10,20,5,5,10,20,5
Top Newsworthy,30,10,15,5,10,5,5,5
Top Politicians,45,25,25,10,5,10,5,5
Top Sports Teams,75,15,50,5,5,5,30,5
연예인 부문,20,15,15,5,5,10,5,5
운동선수 부문,20,5,10,5,5,5,5,5
정치인 부문,30,5,10,5,5,5,10,5
최다 검색어 TOP 10,15,15,10,10,10,10,5,10
최다 검색어 TOP 10 (포털 제외),25,10,10,5,10,5,5,5
Blogs,30,20,20,15,10,15,10,10
Ministers,75,45,45,35,5,30,15,15
Serie,45,15,5,10,30,5,30,10
Sporty,50,20,30,10,35,10,10,5
Meist Gesuchte Begriffe ,25,25,10,20,5,10,5,5
Bilmärken,60,30,10,30,25,10,5,20
Meist Gesuchte Automarken,35,15,5,10,5,5,15,10
Meistgesuchte Begriffe ,50,10,35,10,10,5,35,5
Meistgesuchte Bilder,30,5,5,5,5,5,15,5
Meistgesuchte Orte,50,5,5,5,10,5,15,5
Myndigheter,55,40,5,40,15,5,10,5
Populäraste Sökorden,30,25,15,10,5,15,20,5
Svenska Kändisar,60,50,45,50,10,45,10,45
Utländska Kändisar,295,15,10,5,15,10,10,5
年度人物搜尋排行,45,30,10,25,5,10,5,10
年度台灣觀光景點搜尋,15,15,15,5,5,15,5,5
快速竄紅關鍵字搜尋排行 ,25,5,25,5,5,5,5,5
คำค้นหามาแรงที่เกี่ยวข้องกับซีเลบ,25,15,15,10,15,5,5,10
คำค้นหามาแรงที่เกี่ยวข้องกับพระราชวงศ์,55,30,5,30,25,5,5,25
คำค้นหามาแรงที่เกี่ยวข้องกับสถานที่ท่องเที่ยว ,25,20,10,20,15,10,5,5
คำค้นหามาแรงที่เกี่ยวข้องกับโอลิมปิก,50,15,5,5,45,5,5,5
ยอดนิยม,75,10,15,5,40,5,35,5
Top Economic Terms,65,35,30,10,10,15,10,5
Politicians,150,110,95,90,105,90,120,90
It's the Economy,15,15,10,15,5,10,5,5
Events: Fastest Rising Searches,35,10,10,5,20,5,10,5
Fastest Falling,20,15,5,10,10,5,5,5
Fastest Rising,305,70,215,65,145,65,65,65
Fastest Rising Searches: First Half of 2009,45,15,20,15,10,5,5,15
Fastest Rising Searches: Second Half of 2009,25,10,5,5,10,5,5,5
Festivals: Fastest Rising Searches,40,10,5,10,5,5,5,10
Food and Drink,35,20,15,20,15,10,10,10
Looking to Buy Online: Fastest Rising Searches,170,165,40,45,10,40,5,10
Mobile Application Searches: Fastest Rising,40,20,5,15,5,5,5,5
News Searches: Fastest Rising,305,70,5,5,5,5,5,5
People: Fastest Rising,20,15,10,10,5,10,10,5
Searches Related to Economy: Fastest Rising,40,30,25,10,15,25,10,10
Emerging,35,30,5,30,10,5,5,30
Fastest Growing Searches,40,20,5,10,15,5,5,10
"Bargain Hunting (Fastest Rising, Dutch)",105,20,90,15,10,5,15,5
"Bargain-Hunting (Fastest Rising, French)",65,10,10,5,15,5,15,5
Fastest Rising ,35,10,5,5,20,5,10,5
"Hottest tickets (fastest rising, Dutch)",70,25,25,25,25,10,15,15
"Hottest tickets (fastest rising, French)",15,15,5,5,5,5,5,5
Emergentes,80,70,65,65,65,60,70,65
Fastest rising / En plus forte progression,305,235,85,155,155,85,5,5
Fastest-rising News searches,60,45,5,20,20,5,10,5
Recherches d’actualités en plus forte progression,20,15,5,5,15,5,10,5
Recherches « comment faire » les plus fréquentes,55,35,20,5,35,5,5,5
上升最快,75,30,10,15,30,5,5,15
上升最快股票,50,45,10,5,40,10,5,5
Hrvatska estrada - pretrage u porastu,50,15,15,15,5,10,10,5
Politika - pretrage u porastu,25,10,15,5,5,5,10,5
Pretrage u porastu,30,25,15,15,10,15,5,15
Největší skokani na Google.cz,30,5,20,5,5,5,5,5
Největší skokani showbizu,35,30,35,25,5,30,5,25
Største vækst i antal søgninger,25,20,10,15,5,10,5,5
Nopeimmin nousseet haut,100,5,90,5,5,5,5,5
Nopeimmin nousseet syömiseen liittyvät haut,55,10,15,5,20,5,10,5
Divertissement,35,10,10,5,20,5,5,5
Recherches en progression,65,55,10,5,10,10,15,5
Schnellste Aufsteiger unter den Suchbegriffen,150,35,135,20,115,25,20,15
Emergent,40,30,10,5,5,5,5,5
竄紅關鍵字,30,25,20,15,25,15,15,10
I Termini di Crescente Popolarità,215,210,30,20,10,25,185,5
モバイル急上昇ワード,80,15,25,10,10,5,30,5
急上昇ワードランキング,40,40,40,5,5,40,40,5
Categorie: financieel (snelst stijgend),60,45,5,35,15,5,25,15
Goedkoop / goedkope... (snelst stijgend),35,10,5,10,10,5,10,10
Snelst stijgende zoekopdrachten,45,15,25,15,15,15,15,15
Song Lyrics,50,50,50,50,50,50,45,50
Najszybciej zyskujące na popularności,125,80,40,45,30,40,30,35
Самые быстро растущие запросы года,25,15,10,10,10,10,10,10
급상승어 TOP 10,20,20,5,15,5,5,5,10
Sökningar som ökat mest i popularitet,145,120,20,5,5,20,115,5
Meist gesuchte Personen in 2009 verglichen mit 2008,35,35,15,30,5,15,20,20
快速竄紅關鍵字搜尋排行榜,70,50,30,20,15,10,5,15
ดาวรุ่งพุ่งแรง,45,10,15,10,10,5,15,5
Fastest Rising News Searches,5,5,5,5,5,5,5,5
Fastest Rising: what is ...,45,40,30,15,10,30,30,5
Restaurants,25,25,15,20,10,15,10,15
Top Trending,110,85,70,85,45,45,45,45
Books,75,30,60,25,30,30,25,25
Google.com Fastest Falling,30,5,5,5,5,5,5,5
Google.com Fastest Rising,5,5,5,5,5,5,5,5
Images,20,15,10,15,20,10,10,15
Maps Searches,15,10,10,10,10,10,10,10
Mobile Searches,60,15,30,10,20,10,10,10
Consumer Electronics,45,35,30,30,30,30,30,30
Falling Searches,50,50,15,25,20,15,15,20
Food & Drink,60,55,15,50,15,15,15,30
Health,45,35,5,5,5,5,5,5
Humanitarian Aid,75,5,20,5,5,5,5,5
People,790,770,765,765,760,765,760,760
Schnellst wachsende Suchbegriffe,45,5,5,5,5,5,5,5
Fastest Rising Local Newsmakers,75,40,20,5,5,20,5,5
Fastest Rising Local Travel Destinations,35,30,30,5,5,30,25,5
Music Artists,70,40,60,35,35,35,40,35
News,305,235,215,155,155,150,150,150
Google Maps,295,15,30,10,5,5,260,10
Google News,150,140,10,15,15,10,10,10
Fastest Rising Searches,105,105,90,95,100,90,90,90
Online Games,25,10,10,10,5,5,15,10
Soccer,395,40,30,30,35,20,20,15
TV,55,55,45,45,45,45,55,45
Fastest Rising Searches ,145,120,110,115,100,100,115,100
Plus fortes progressions – Personnalités,145,25,110,5,20,10,10,5
Requêtes avec la plus forte progression Google Actualités,60,40,15,5,35,5,10,5
Menschen,30,30,25,20,20,25,20,20
Suchanfragen,85,50,60,50,30,50,50,30
娛樂資訊,30,20,10,15,5,10,5,10
關鍵字,30,20,15,15,15,15,15,15
○○とは,35,35,30,35,20,30,20,25
レシピ,20,20,5,20,20,5,5,20
商品（ガジェット）,45,15,20,15,5,15,10,10
年間ランキング,50,50,5,25,20,5,10,5
急上昇ワード,15,15,10,10,10,10,10,10
話題の人,45,40,30,25,35,30,30,25
Music,35,30,25,20,20,25,25,20
Norwegians,25,10,5,10,5,5,5,5
Быстрорастущие запросы,15,10,5,10,10,5,5,5
Dishes,25,15,10,15,15,10,5,5
Games,105,105,95,90,90,95,85,80
Trends,70,10,30,5,40,5,30,5
TV Programs,20,10,10,10,15,10,10,10
Fastest Rising Maps Searches,70,60,15,30,25,10,25,10
Gadgets,305,235,85,80,145,85,80,80
Show Biz,135,35,15,10,15,15,5,10
Пошукові запити з найбільшим темпом зростання,65,60,5,15,5,5,5,10
Baseball,40,20,20,15,10,10,5,10
Basketball,45,30,5,30,5,5,5,30
Cars,20,15,15,15,10,10,10,15
Costumes,120,5,105,5,20,5,5,5
Dance Moves,80,15,15,10,15,10,20,10
Donate To,655,645,25,25,5,25,5,25
Economy,45,30,20,25,10,15,20,20
Football,50,25,20,10,25,10,5,10
Google Image Searches,55,50,10,35,10,10,40,35
Google Maps Searches,35,20,25,15,25,10,15,5
Google News Searches,20,15,5,5,5,5,5,5
Home Appliances,70,45,5,5,10,5,5,5
Literature,25,10,15,5,10,10,10,5
News Sources,45,30,25,25,25,25,25,25
Political Scandals,55,15,10,10,5,5,10,5
Politics,70,35,35,35,25,35,35,15
Pop Culture / People,25,10,10,10,5,10,5,10
Pop Culture / Songs,10,5,10,5,5,5,5,5
Pop Culture / Toys,60,55,5,15,20,5,5,5
Pop Culture / TV Shows,35,35,5,30,5,5,5,5
Product Searches,20,20,10,10,20,10,5,10
Quirky Environmental ,50,10,20,5,35,10,5,5
Recalls,35,5,5,5,5,5,5,5
Science,20,15,10,10,10,10,5,5
Workouts,20,10,10,10,5,5,15,5
Airlines,60,5,20,5,5,5,5,5
Events,150,140,140,125,125,130,125,125
Feature Films,40,20,15,15,5,10,15,10
Google+ Hashtags,15,15,15,10,10,15,10,10
Performing Artists,25,15,15,15,15,15,15,15
Videos,20,20,15,15,5,15,5,10
Actors,100,95,90,90,90,85,85,85
Local Searches,40,20,15,5,5,5,5,5
Musicians,130,90,85,80,85,85,80,80
National Bands,25,10,5,10,10,5,10,10
Shopping,10,5,5,5,5,5,5,5
Songs,340,255,285,230,220,215,285,230
World Cities,55,15,5,15,20,5,15,5
Australian Celebrities,45,25,30,25,10,10,5,20
Australian News Moments,55,20,15,10,15,10,10,5
Top Lyric Searches,40,20,5,15,5,5,5,5
Trending Beers,45,10,40,10,35,5,10,5
Austrian Cities,35,35,20,25,5,20,5,25
Austrian Politicians,25,25,10,5,10,10,5,5
Food & Drinks,75,70,55,65,55,55,50,65
Football Clubs,55,30,20,30,5,10,5,5
Belgian Celebrities,5,5,5,5,5,5,5,5
Belgian Festivals,70,25,40,25,10,25,25,20
Belgian Movies,20,15,5,5,10,5,10,5
Belgian Musicians,25,20,15,15,5,10,5,10
Belgian TV Shows,50,5,5,5,5,5,5,5
DJ's,35,35,15,30,10,15,5,20
Career\\Job,50,15,15,15,5,10,5,10
What is...?,230,195,195,185,185,190,180,180
Emerging Bands and Musicians,35,35,15,30,5,15,20,20
Food & Dishes,155,105,40,105,5,5,20,105
Image Searches,125,60,65,60,55,60,55,55
Colombian Politicians,30,10,15,5,5,10,5,5
Kids Shows,30,20,20,15,5,10,15,5
Danish Celebrities,35,5,5,5,10,5,30,5
Fashion Labels,60,60,25,40,30,25,45,40
Trending Celebrities,35,10,15,5,5,10,5,5
Baking Recipes,115,60,15,60,65,5,5,15
Food Recipes,10,10,10,5,5,10,5,5
Mobile Devices,25,10,10,10,5,5,5,5
Sport Events,20,15,10,15,15,10,10,10
Television,15,10,10,10,10,10,10,10
Chansons,25,15,20,15,20,15,15,15
Comment...,30,20,25,20,15,20,25,20
Musiciens,90,80,15,20,40,15,50,20
Nourriture,55,10,15,5,5,5,10,5
Qu'est-ce que...?,50,40,5,5,15,5,5,5
Recherche d'images,55,25,10,10,10,10,5,10
Sport,85,70,85,70,55,70,50,70
Technologie,65,40,65,40,35,40,25,25
Automarken,35,5,10,5,10,5,5,5
Bildersuche,50,50,5,5,5,5,5,5
Politiker,30,25,25,25,5,20,5,10
Suchbegriffe,90,80,65,60,35,60,50,60
Recipe,70,45,35,20,25,30,30,20
Car Models,45,35,20,30,30,15,15,30
Indonesian Songs,395,40,345,30,10,15,345,15
People (Global),20,5,15,5,5,5,5,5
People (Indonesian),35,30,5,10,5,5,25,5
Music Bands,80,15,15,5,5,5,10,5
Sports Teams,90,75,40,40,40,35,60,35
Films,55,50,40,50,40,35,45,40
Exhibitions,75,30,35,10,5,10,5,5
Movies (Cinema),25,15,5,10,15,5,15,10
Tickets for Football Matches,20,15,10,5,5,5,15,5
What does it mean...?,15,15,5,15,15,5,5,10
CM/コマーシャル,50,30,50,30,40,30,30,30
Devices\\Gadgets,10,10,10,10,5,10,5,5
ハウツー／方法,45,45,20,30,10,20,10,25
注目のスポット,15,15,10,15,5,10,5,10
注目の映画,150,140,140,15,15,130,5,5
話題のニュース,155,60,60,10,5,5,5,10
話題の人（女性）,50,45,40,40,40,35,35,40
話題の人（男性）,60,50,35,50,35,35,35,50
What is...? (Acronyms),30,10,20,10,5,10,5,5
What is...? (Health),20,15,5,5,5,5,5,5
What is...? (Technology),45,20,25,15,25,15,15,15
Smartphones,30,20,15,15,15,15,10,15
Food,30,25,15,25,10,15,10,20
Olympians,45,45,15,15,10,15,20,15
Dutch House Market,15,10,10,5,10,10,10,5
Supermarkets,45,35,20,25,25,20,5,10
New Zealand News Events,10,5,5,5,5,5,5,5
New Zealanders,70,60,30,20,15,25,35,15
Nigerian Musicians,15,10,15,10,15,10,10,10
Sports Games,50,45,40,5,5,40,5,5
Local Newsmakers,45,40,5,10,5,5,35,5
Top News,15,15,10,10,10,10,5,5
In-Country Olympians,25,15,20,10,10,10,5,10
Football Matches,60,35,15,35,10,15,20,25
Еда,70,10,30,5,35,10,5,5
Как...,20,5,5,5,15,5,5,5
Олимпийцы,20,5,5,5,5,5,5,5
Песни,55,15,20,10,10,15,5,5
Покупки,60,15,30,10,20,10,10,10
Почему...?,70,45,5,30,5,5,5,30
Путешествия,45,15,25,15,15,5,5,15
ТВ-программы,65,35,30,10,25,15,40,5
Фильмы,60,50,20,40,15,15,15,15
Что такое...?,30,10,10,10,15,10,25,10
Gadgets & Phones,50,25,20,15,25,10,10,15
Local Brands,55,25,30,15,15,15,10,10
Sports Events,55,45,30,45,35,30,30,30
TV Series,60,20,20,15,55,15,20,15
Vehicles,45,15,30,10,10,10,10,10
What is...? (Health Focus),60,35,15,35,10,15,10,25
