item,frequency(N30K600),frequency(N60K1200),frequency(N90K1800),frequency(N120K2400),frequency(N150K3000),frequency(N180K3600),frequency(N210K4200),frequency(N240K4800)
Electronic Devices,60,35,35,35,10,15,20,10
Búsquedas,120,115,105,115,100,100,115,100
Búsquedas de imágenes,65,10,55,5,10,10,15,5
Cómo...,150,115,135,105,115,110,105,100
Destinos de viaje,60,40,20,25,5,20,15,5
Gente,30,5,10,5,10,5,15,5
¿Qué es...?,70,65,55,50,50,50,65,50
Artists,35,20,20,10,10,10,10,5
Local Events,70,50,30,30,15,30,10,30
Swiss Celebs,25,10,10,10,10,5,5,5
Gadgets\\Tech,35,35,10,15,5,10,5,5
What is...? (Business Finance Focus),45,40,30,15,15,25,5,10
Місця для поїздок,75,15,10,10,15,10,10,5
Події 2012,30,5,20,5,5,5,15,5
Пошукові запити,20,15,10,10,5,10,5,5
Українські співаки,20,10,15,10,5,10,5,5
Фільми,20,15,10,10,5,10,5,5
Чому…,50,35,15,25,5,10,10,25
Що таке…,45,30,20,25,10,15,15,5
Як…,10,10,5,5,5,5,10,5
Їжа та напої,35,20,5,5,10,5,5,5
Global Football Players,20,15,5,10,5,5,10,5
Annual Events of 2012,20,15,10,5,5,5,5,5
Apparel Brands,75,15,10,5,10,10,10,5
Authors,20,10,10,10,20,10,10,10
Calorie Searches,60,50,20,50,20,20,20,20
Colleges & Universities,20,15,15,5,5,15,10,5
Donations,45,30,25,25,20,15,20,15
Election Issues,35,15,5,10,10,5,10,10
Endangered Species,65,40,20,30,15,20,10,10
Events of 2012,45,20,20,5,5,20,5,5
Food Delivery,70,55,25,30,5,10,20,20
Google Doodles of 2012,20,5,10,5,5,5,5,5
Halloween Costumes,55,45,10,30,10,5,10,15
Health Issues,50,15,10,10,25,10,10,10
Hybrid Card,45,10,10,10,10,5,25,5
Jewelry Brands,15,10,15,10,10,10,10,10
Mobile\\Tablet Apps,10,5,10,5,5,5,5,5
Museums,30,25,15,15,15,15,20,15
Phones,65,40,65,40,35,40,15,15
Political Gaffes,55,40,20,35,35,5,30,10
Reality TV Stars,75,15,25,10,25,10,30,10
Shoe Brands,45,15,15,10,10,15,25,10
Song Lyric Searches,30,15,15,10,5,10,5,5
Stocks,145,25,15,20,20,15,115,10
Symptoms,20,15,15,15,15,15,15,15
Tech Gadgets,65,20,15,15,30,15,40,15
Toys,40,30,25,30,20,20,20,30
US Politicians,70,15,15,5,15,15,55,5
Bài hát,25,15,15,15,15,15,15,15
Tìm kiếm,25,15,10,10,15,10,5,10
YouTube Videos,85,50,60,50,30,50,50,20
Acontecimientos,170,165,115,120,115,115,120,120
Bandas y músicos,40,35,30,30,30,30,30,30
Canciones,155,105,105,105,110,100,105,105
Deportistas,140,125,120,120,135,120,115,115
Eventos deportivos,100,90,90,85,80,80,80,80
Películas,295,280,255,265,265,255,260,255
Personas,135,100,110,95,100,95,95,95
Programas de TV,75,75,75,75,75,75,75,75
Tecnología,155,95,90,50,40,40,75,50
Digital/Internet Lingo,115,55,80,20,65,30,60,15
News Items of 2013,20,15,15,15,15,10,10,15
Overall,65,65,50,55,50,50,50,55
Blockbuster,25,15,15,10,5,10,5,5
Events & Ereignisse,55,35,15,15,35,10,15,10
Gadgets & Technik,75,15,10,10,15,10,5,5
Promis,150,35,10,20,15,10,5,15
"Skandale, Pleiten & Aufreger",15,15,5,5,5,5,5,5
Top-Trends des Jahres,20,15,15,10,5,10,10,5
Trending Searches,110,85,40,85,40,40,40,40
Belgians ,50,40,10,35,10,5,5,5
Fastest Rising People International,5,5,5,5,5,5,5,5
Automobilístico,30,20,5,20,5,5,5,5
Educação,70,25,40,25,10,25,25,5
Entretenimento Multitelas,115,55,20,20,40,15,5,5
Esportes,55,35,15,5,5,5,10,5
Famosos,130,90,25,10,85,5,5,5
Filmes,65,45,45,40,55,45,40,40
Momentos,35,30,35,5,5,30,10,5
Músicas,60,55,45,40,25,40,25,20
Novelas,70,60,25,40,20,25,35,25
Poder,25,15,5,5,10,5,15,5
Seu Bolso,60,50,10,10,5,5,10,10
Top 10,70,60,30,35,20,20,20,30
Думи,55,5,5,5,5,5,15,5
Популярни търсения - диети,60,10,5,10,35,5,10,5
Популярни търсения - Как да...,15,15,5,10,5,5,10,10
Популярни търсения - Какво е...,45,25,25,25,10,5,15,20
Популярни търсения - песни,45,5,30,5,15,5,15,5
Популярни търсения - почивка в...,35,20,15,10,5,5,15,10
Популярни търсения - рецепти,20,5,15,5,15,5,5,5
Популярни търсения - събития,30,20,10,10,15,10,10,5
Популярни търсения - ТВ предавания,55,55,40,20,40,40,40,5
Хора,50,35,25,25,25,25,15,25
Canadian Sports Teams,40,25,25,15,10,10,30,15
Canadians,55,25,25,25,25,25,25,25
Diet,60,45,40,35,20,35,25,20
Tendencias de Búsqueda,45,35,30,25,20,25,25,20
为什么,55,15,20,5,5,15,5,5
搜索关键词,65,45,20,45,25,15,10,25
游戏,35,10,10,10,20,5,20,10
Acontecimientos ,45,35,20,25,10,20,15,10
Actores,30,10,30,5,10,10,5,5
Cantantes,65,60,50,45,50,50,45,45
Cómo,125,110,110,110,110,110,110,110
Eventos Deportivos,40,30,30,30,30,30,30,30
Programas de Televisión/Películas,65,15,20,15,5,10,5,5
Qué es,100,80,75,75,70,70,70,75
Telecomunicaciones/Hardware,105,85,90,85,10,85,5,85
Tendencias,105,70,75,60,65,70,65,60
Intérpretes Musicales,35,35,10,30,20,10,25,15
Popularne pjesme,10,5,5,5,5,5,10,5
Popularne sapunice,75,30,60,15,10,25,45,15
Popularni događaji,35,25,15,5,10,5,5,5
Pretrage,45,25,20,25,10,20,10,5
Lokální osobnosti,30,5,10,5,10,5,5,5
Politici,20,15,10,10,5,10,10,5
Skokani,40,30,35,25,30,30,25,25
Světové osobnosti,65,55,40,55,15,35,15,40
Technologické novinky,60,25,20,10,10,20,30,10
Hvad er?,40,20,20,15,15,10,20,5
Hvor ligger?,70,50,10,20,15,10,30,15
Mennesker,20,10,5,5,5,5,5,5
Musiker,30,10,30,10,10,10,10,10
Slankekur,75,45,60,20,30,35,5,20
TV-program,60,40,35,25,25,20,25,20
Trending People - الاشخاص الأكثر رواجاً,30,20,25,20,25,15,15,15
Trending Searches - كلمات البحث الأكثر رواجاً,45,35,20,30,30,15,15,30
Inimesed,70,60,35,35,10,35,10,30
Otsingud,45,10,20,10,5,5,5,10
Üritused,90,75,45,35,40,40,5,35
Henkilöt,30,30,30,30,30,30,30,30
Kuinka...?,35,25,20,20,20,20,20,20
Kännykät,25,25,15,5,10,15,10,5
Matkailu,25,10,20,5,5,10,10,5
Mikä on...?,35,25,25,20,15,20,15,20
Miten...?,45,20,30,15,20,15,25,15
Reseptit,70,35,20,20,25,20,20,20
Talous,30,15,5,10,5,5,5,10
Tapahtumat,130,40,25,35,35,20,15,15
Trending,70,50,40,35,15,40,50,20
Urheilijat,20,20,20,20,20,20,20,20
Vähittäiskauppa,60,45,5,25,5,5,15,10
Couturiers et designers,20,10,15,10,10,10,5,5
Evénements,20,5,10,5,5,5,5,5
Expositions,80,65,15,55,55,10,20,50
Gifs,35,20,35,5,5,20,20,5
High Tech,25,10,15,10,10,10,20,10
Personnalités politiques,75,45,60,20,30,35,45,20
Que signifie... ?,40,10,10,5,5,5,30,5
Recettes,35,25,15,25,20,15,10,20
Sportifs,65,55,30,30,15,20,25,15
Sujets d'actualité,55,40,5,35,5,5,5,10
Musik,75,60,35,55,45,35,45,45
Nachrichten,30,20,15,15,10,15,25,15
Technik,30,20,10,10,10,10,20,10
Top Events,35,25,20,5,20,20,5,5
Top Trending TV Series,45,30,10,5,5,5,5,5
社會話題,40,10,25,5,5,5,15,5
Keresések,30,25,20,25,10,15,10,25
Személyek,60,55,20,40,5,15,5,5
Penelusuran,25,25,25,25,10,25,10,25
Tokoh,55,30,25,25,30,25,25,25
Cities,20,15,10,15,5,5,5,5
Sports Personalities,45,15,25,15,20,15,10,15
Words,65,20,35,15,25,5,5,5
איך?,20,20,10,10,10,10,10,10
אירועי ספורט,15,10,15,10,10,10,10,10
גברים ישראלים,10,10,5,5,5,5,5,5
הקמפיינים של השנה,40,20,20,5,10,10,15,5
כוכבי ריאליטי,70,25,25,25,10,10,5,10
כלי רכב,70,50,45,20,60,40,30,5
מובייל,30,25,20,15,5,20,5,15
מסעדות,25,25,15,20,10,15,5,15
מפלגות,45,35,15,30,10,15,15,10
מתכונים,165,160,125,95,10,125,10,5
נפרדנו מהם השנה,55,45,15,30,20,10,10,15
נשים ישראליות,70,60,30,40,5,25,5,15
"סדרות חו""ל",155,50,10,45,40,10,20,45
סדרות ישראליות,30,15,15,10,10,5,10,5
"סלבס חו""ל",70,5,55,5,5,5,5,5
סלבס ישראל,35,35,10,5,5,10,30,5
סרטים,50,40,40,35,35,35,30,30
עשרת הגדולים,70,60,35,25,35,35,25,25
פוליטיקאים,35,15,20,15,15,10,10,15
קניות אונליין,55,45,30,30,20,30,20,15
תוכניות ריאליטי,45,30,20,5,5,5,5,5
תופעות 2013,30,20,15,20,10,10,15,5
תופעות דיגיטל,25,5,10,5,5,5,5,5
Al cinema,60,20,5,15,25,5,25,5
Cambiare,70,60,25,30,5,25,10,30
Come fare,80,65,55,35,40,45,15,15
Cosa significa,75,40,55,35,35,20,40,35
Fa dimagrire,50,25,30,25,5,10,10,15
Mangiare,35,30,35,30,5,30,5,30
Perché,45,20,15,20,40,15,40,20
Ricerche emergenti,35,35,20,5,20,20,10,5
Vendere,45,10,10,5,5,5,5,5
CM,50,40,20,40,35,10,10,10
○○はいつ？,65,30,25,10,10,5,10,5
○○はどこ？,70,60,5,50,5,5,15,50
○○は誰？,35,30,5,5,30,5,5,5
なぜ○○？,20,20,15,5,10,15,5,5
アニメ,55,10,10,10,10,10,5,10
ガジェット（「価格」と一緒に検索された製品名）,35,25,10,5,20,5,5,5
ゲーム,155,60,90,50,40,50,20,5
タブレット急上昇,55,10,30,5,5,5,10,5
ダイエット,20,15,10,5,10,10,5,5
ドラマ,40,30,25,25,25,25,30,25
ニュース,130,40,20,35,35,20,25,20
ハウツー,45,20,10,15,20,5,10,15
モバイル急上昇,25,15,15,10,5,10,5,5
三重,45,25,15,20,5,10,10,15
京都,20,10,15,10,15,5,5,5
会社（「入社」と一緒に検索された企業名）,50,25,30,5,15,20,25,5
佐賀,40,10,40,5,35,10,35,5
兵庫,35,5,20,5,10,5,5,5
北海道,15,10,5,5,10,5,5,5
千葉,15,5,10,5,5,5,5,5
和歌山,40,20,20,10,15,10,20,10
埼玉,30,25,5,5,5,5,20,5
大分,60,20,15,5,35,10,5,5
大阪,25,10,20,5,5,5,5,5
奈良,15,10,10,5,10,10,10,5
宮城,25,15,10,10,5,10,10,10
宮崎,25,15,10,15,5,5,10,5
富士山,30,20,10,10,5,10,5,10
富山,40,20,10,5,10,10,5,5
山口,35,25,20,25,10,20,5,20
山形,70,10,65,10,50,10,5,5
山梨,15,15,10,5,5,10,10,5
岐阜,150,40,95,35,105,5,120,5
岡山,20,15,10,10,5,10,5,5
岩手,10,10,5,5,5,5,5,5
島根,30,10,15,5,5,10,5,5
広島,30,25,10,20,10,5,15,15
徳島,55,20,25,10,5,5,5,5
急上昇,70,25,25,25,30,25,25,25
愛媛,35,35,10,10,5,10,5,5
愛知,65,30,30,10,25,15,5,5
新潟,55,15,20,10,10,10,10,10
映画,40,30,30,25,25,30,25,25
東京,20,10,5,5,5,5,10,5
栃木,40,30,15,5,5,10,5,5
沖縄,55,20,15,10,15,10,10,5
滋賀,395,40,345,30,5,15,20,15
熊本,45,20,25,10,5,20,5,10
石川,40,10,15,10,15,10,5,10
神奈川,15,5,5,5,5,5,5,5
福井,55,55,20,20,5,20,5,20
福岡,30,30,5,10,20,5,20,5
福島,30,20,10,10,10,5,5,10
秋田,15,10,10,10,10,10,5,5
群馬,45,30,30,30,5,30,5,5
茨城,75,65,10,55,10,10,10,55
長崎,215,210,175,190,185,175,185,5
長野,50,5,50,5,30,5,5,5
青森,5,5,5,5,5,5,5,5
静岡,30,20,10,10,10,5,5,5
香川,85,15,85,5,55,15,25,5
高知,30,20,10,15,5,10,15,10
鳥取,30,10,20,5,5,5,10,5
鹿児島,75,60,5,10,15,5,10,5
"Events, Trending",45,15,15,5,20,15,25,5
"People, Trending",15,15,10,15,10,10,10,15
"TV Shows, Trending",55,45,30,25,30,25,15,20
Cilvēki,105,20,15,5,5,15,5,5
Meklējumi,30,15,15,5,10,10,10,5
Paieškos,30,25,10,25,10,5,5,25
Žmonės,65,30,30,20,25,15,10,10
Car Makes,45,15,5,10,5,5,10,10
Malaysian TV Series,15,10,5,5,5,5,5,5
Trending Malaysian Celebrities,45,40,30,15,30,30,5,15
Trending Malaysian Movies,15,5,10,5,5,5,5,5
Trending Movies,45,30,35,30,35,25,30,30
Trending Songs,25,20,20,20,15,20,15,15
Ciudades,15,15,10,10,5,10,5,5
Coches,80,15,15,5,5,15,10,5
Deportes,170,170,165,105,100,165,105,105
Moda,25,15,10,5,10,5,5,5
Música,165,160,125,95,90,125,95,90
Noticias,40,30,20,25,25,20,30,25
Noticias de entretenimiento,55,20,15,10,5,15,5,5
Videojuegos,50,30,30,30,30,25,30,30
Afbeeldingen,20,5,5,5,5,5,5,5
Feestdagen,45,20,30,10,10,20,10,10
Festivals & concerten,230,195,195,10,185,190,10,10
Gebeurtenissen Koninklijk Huis,90,65,15,10,25,10,5,10
Hoe werkt...,395,40,30,10,35,20,10,10
Mensen,60,25,10,25,25,5,30,15
Snelststijgende zoekopdrachten,55,50,15,50,5,15,5,40
Supermarkten,10,10,10,10,5,10,5,10
Tv-programma's,65,50,5,5,15,5,5,5
Top Trending Events,20,15,10,10,10,10,10,10
Hva..?,50,45,10,45,10,10,15,45
Hvem...?,55,35,50,30,15,30,15,30
Hvor...?,105,105,95,90,10,95,10,10
Hvordan...?,75,65,25,35,25,25,25,25
Hvorfor...?,55,45,50,30,35,40,10,10
Czym jest... ?,45,35,5,10,10,5,15,10
Filmy,75,60,50,60,45,45,45,45
Jak... ?,35,20,15,15,20,15,15,15
Ludzie,125,45,55,40,40,45,40,40
Muzyka polska,5,5,5,5,5,5,5,5
Muzyka zagraniczna,35,35,15,30,10,15,20,10
Sportowcy,20,5,15,5,15,5,5,5
Wydarzenia,100,90,40,80,35,40,40,80
Atletas,75,45,15,40,5,15,10,10
Pesquisas,30,25,10,10,25,10,10,10
Intérpretes musicales,55,35,10,35,20,5,10,5
Ce este...?,45,35,30,25,20,25,25,25
Cum să pictezi,25,10,20,10,10,10,5,5
Căutari,45,10,5,5,5,5,5,5
Diete,55,35,25,30,35,25,30,30
Evenimente muzicale,60,30,25,30,50,25,30,10
Evenimente sportive,30,25,25,25,25,25,25,25
Filme,65,65,60,60,60,60,60,60
Persoane,60,25,20,25,25,20,20,10
Rețete,55,35,35,30,35,30,30,30
В тренде,15,5,10,5,5,5,5,5
Как?,35,20,15,10,25,10,10,10
Мемы,30,25,25,25,15,25,15,25
Научиться...,20,20,20,5,5,20,5,5
Почему?,45,45,20,15,30,20,10,10
Сколько стоит?,30,5,25,5,5,5,5,5
Что такое?,105,75,25,60,20,15,10,60
Trending people,115,60,20,60,40,5,60,15
Trending searches,40,5,5,5,5,5,25,5
Ljudi,80,15,15,10,10,15,10,10
Popularne pesme,60,50,30,10,5,30,5,10
Pretraga,25,20,5,10,15,5,10,5
Trending 'How to...',35,35,5,35,5,5,5,25
Trending 'What is...',45,10,30,10,10,5,15,5
Trending Events,90,65,75,55,25,55,20,20
Trending Gadgets,55,45,50,15,10,40,15,15
Trending People,85,35,60,25,10,10,10,20
Trending Recipes,70,45,40,15,55,15,15,15
Lokálne osobnosti,45,15,10,10,10,10,5,10
Zahraničné osobnosti,45,35,20,30,30,20,25,20
Dogodki,70,60,25,50,25,25,30,50
Osebe,45,45,25,30,25,25,20,20
SA Brands,125,80,40,35,35,40,10,30
SA Politicians,15,10,5,10,10,5,5,10
SA Women,30,15,10,5,10,5,10,5
IT 기기,35,15,20,15,10,5,5,5
건강,15,5,5,5,5,5,5,5
게임,90,65,75,55,35,55,35,35
노래,30,15,10,15,10,5,10,15
도서/전시/공연,20,10,5,5,10,5,10,5
만화,100,20,20,10,20,15,10,5
앱,20,15,5,15,5,5,5,5
영화,50,45,40,40,35,40,40,40
운동선수,295,15,10,10,265,10,260,10
자동차,75,45,20,20,25,10,10,20
종합,95,35,30,35,35,30,35,30
화제의 인물,20,15,5,10,5,5,5,10
"""Cómo...""",25,20,5,15,20,5,5,5
"""Qué es...""",80,65,15,10,55,5,45,5
Acontecimientos Deportivos,25,10,15,5,5,5,5,5
Acontecimientos Sociales,75,30,15,30,35,5,10,30
Apps,50,50,45,45,40,45,25,25
Dietas,60,45,15,35,30,15,20,15
Electrónica,5,5,5,5,5,5,5,5
Palabras,55,25,5,5,5,5,5,5
Artister,45,30,30,30,20,30,15,25
Film,155,60,90,50,110,50,45,45
"Frågor som börjar med ""Hur""",30,20,20,15,15,15,10,5
"Frågor som börjar med ""Vad""",30,20,15,5,5,15,5,5
"Frågor som börjar med ""Varför""",150,110,95,90,10,90,5,90
Idrottsutövare,40,20,15,10,5,5,5,10
Mat,70,60,30,50,40,25,25,50
Personer,85,45,40,40,40,40,45,40
Övergripande,45,25,30,25,15,25,10,25
Schweizer Sportler,30,30,20,20,15,20,10,15
Schweizer Veranstaltungen,70,65,15,15,15,15,65,15
TV Programme,65,55,15,15,5,15,30,15
Was ist...?,10,5,5,5,10,5,10,5
3C,105,30,30,5,20,10,5,5
社會議題,40,30,25,20,5,25,5,5
電影,25,10,15,10,5,10,5,5
คำค้นดาวรุ่งพุ่งแรงประจำปี,20,10,10,10,15,10,10,10
เสาะหารถรุ่นถูกใจ,55,30,5,20,30,5,5,20
แก็ดเจ็ตและเทคโนโลยี,75,30,20,15,20,10,30,15
DİZİLER,135,100,10,5,5,5,5,5
FİLMLER,25,15,10,10,5,10,10,10
KİŞİLER,10,5,5,5,5,5,5,5
NASIL YAPILIR?,40,20,20,5,15,10,5,5
TARİFLER,35,35,5,10,10,5,10,5
YÜKSELEN ARAMALAR,35,15,15,5,15,15,10,5
ŞARKILAR,35,35,10,15,5,10,5,10
Stella Amony,35,30,35,30,5,30,5,30
Людина року,35,20,10,10,25,10,15,10
Найпопулярніші запити,100,40,40,40,35,35,40,35
Подія року,35,35,30,35,5,30,10,10
Покупка року,30,25,20,25,20,20,20,25
Серіал року,80,65,55,30,25,45,30,30
Телевізійне шоу року,55,25,20,10,10,10,15,10
Фільм року,75,35,55,35,35,35,40,30
Чому?/Почему?,45,25,20,20,20,10,10,15
Що таке/Что такое?,40,10,5,5,5,5,5,5
Як?/Как?,25,20,10,15,20,10,15,10
2013 Events,35,15,15,5,10,10,5,5
Football Stars,15,5,10,5,5,5,5,5
How to...?,75,70,70,70,70,70,70,70
Annual Events,20,5,5,5,5,5,5,5
Appetizers,15,10,5,5,5,5,10,5
"Atlanta, GA",70,25,35,25,15,5,10,10
"Austin, TX",75,45,60,5,30,30,10,5
Beer,65,20,20,15,55,20,20,15
"Boston / Cambridge, MA",5,5,5,5,5,5,5,5
Boy Names,30,20,10,10,5,10,10,5
Car Companies,50,40,5,5,5,5,5,5
"Chicago, IL",35,30,35,30,20,30,5,30
Colleges and Universities,45,25,30,25,5,10,5,20
"Dallas, TX",25,15,5,10,5,5,5,10
"Denver, CO",45,25,25,15,5,10,5,10
"Des Moines, IA",25,25,10,20,10,10,10,5
Destination Wedding Locations,30,30,15,25,5,15,5,15
"Detroit, MI",105,75,25,15,20,15,50,5
Famous Internet Animals,70,25,20,20,35,20,5,10
Female Politicians,130,40,25,5,5,20,25,5
Girl Names,10,10,5,10,10,5,5,5
Honeymoon Locations,20,15,10,10,5,5,10,10
Hybrid and Electric Cars,100,95,10,5,90,10,5,5
"Kansas City, KS",30,20,10,15,20,10,15,15
"Los Angeles, CA",60,10,5,5,10,5,5,5
Male Politicians,45,10,5,5,25,5,5,5
Memes,140,130,70,70,120,70,60,70
"Miami, FL",55,45,5,15,35,5,25,15
MLB Teams,55,30,25,30,25,20,20,30
Mobile/Tablet Apps,30,15,15,10,10,10,10,5
"New Cars, Trending",230,195,195,10,10,190,10,10
"New York City, NY",125,80,55,45,10,10,25,10
"Oklahoma City, OK",15,15,15,5,5,15,10,5
"Philadelphia, PA",65,15,40,15,15,5,10,10
"Portland, OR",5,5,5,5,5,5,5,5
"Sacramento, CA",50,45,10,40,5,10,5,40
"San Francisco, CA",20,10,10,10,15,10,5,5
"Seattle, WA",30,30,5,30,5,5,5,5
Social Media Sites,10,5,5,5,10,5,5,5
TV Series Finales,75,45,60,15,5,35,5,15
"Washington, D.C.",60,50,10,50,45,5,5,5
Equipos de fútbol,140,130,70,70,10,70,10,70
Más buscados,70,20,45,5,60,5,30,5
Qué es...,40,40,40,35,35,40,40,35
Bài hát Việt,20,20,15,15,10,15,15,15
Công nghệ ,30,15,10,15,10,5,10,5
Hiện tượng Mạng Xã hội,15,10,15,10,10,10,10,10
Nam Nghệ sĩ Việt,20,10,20,10,10,10,10,10
Nữ Nghệ sĩ Việt,55,45,30,35,30,30,10,20
Phim Hoạt hình ,55,45,5,35,5,5,5,20
Phim Truyền hình Nhiều tập,30,20,5,5,15,5,5,5
Phim Điện ảnh,50,35,20,25,25,20,15,25
Thương Hiệu ,20,15,15,10,5,10,5,5
Trò chơi Online ,25,10,10,5,5,5,5,5
Xu hướng Tìm Kiếm ,90,80,10,20,15,5,5,20
Ăn uống,10,5,5,5,5,5,10,5
Global News,55,30,30,20,25,20,20,20
Google Doodles of 2014,30,25,15,15,10,15,20,15
Loss,105,85,90,85,90,85,80,85
World Cup Matches,135,35,110,25,15,15,25,25
Juegos,165,160,125,65,40,125,95,60
Qué...,140,130,70,60,120,60,60,60
Aussies,75,45,60,25,20,35,45,20
Digital / Internet Lingo,30,20,20,20,20,20,20,20
Global People,45,35,40,25,35,35,30,25
News Items of 2014,20,20,10,20,15,10,10,20
Suchanfragen Top 10,40,30,20,10,5,10,5,5
Krisen & Katastrophen,70,10,15,10,10,5,10,5
Küche & Kochen,20,15,5,5,5,5,5,5
Stars International,45,35,30,30,15,30,15,15
Snelst stijgende/ Les plus grandes progressions,15,10,5,5,10,5,10,5
Persoonlijkheden internationaal/ Personnalités internationales,40,35,30,30,5,25,20,25
Persoonlijkheden nationaal/ Personnalités nationales,25,15,5,10,5,5,10,10
Aplicativos,25,10,15,5,5,10,10,5
Bandas,55,40,25,30,20,15,5,15
Boleiros,25,10,20,5,10,10,5,5
Cantoras,75,60,35,55,5,35,10,45
Cantores,20,15,10,5,5,5,5,5
Casamentos,35,20,25,20,10,15,10,10
Datas,35,25,5,25,20,5,20,5
Entretenimento,85,45,30,40,5,5,45,40
Homens,20,20,20,20,5,20,5,20
Mulheres,25,15,5,15,5,5,5,10
Músicas Internacionais,15,15,15,5,5,15,5,5
Músicas Nacionais,70,50,5,20,5,5,10,15
Perdas,20,20,15,20,15,15,15,15
Vídeos do YouTube,65,20,20,5,35,5,40,5
Canadian Teams,35,10,15,10,10,10,10,10
Literatura,790,770,5,5,10,5,5,5
Recetas,50,50,45,45,45,45,45,45
Tareas y términos escolares,150,110,30,20,30,5,120,5
Najčešće pretraživane osobe u Hrvatskoj,30,10,25,10,25,10,10,10
Najčešće pretraživani događaji,15,10,10,10,10,10,10,10
Největší skokani mezi lokálně známými osobnostmi,20,10,5,10,5,5,5,10
Největší skokani za rok 2014,5,5,5,5,5,5,5,5
'Hvad ... ?',125,15,15,15,5,15,5,15
Danske Kvinder,30,5,10,5,5,5,20,5
Danske Mænd,30,20,15,5,5,15,5,5
Kalorier i ...,50,25,5,15,5,5,5,15
Kendte i Verden,20,10,10,10,5,5,10,5
søgninger,35,20,15,10,15,15,5,10
TV serier,45,15,10,5,5,5,20,5
Elokuvat,35,20,20,15,15,15,15,15
Kappaleet,25,15,20,15,5,10,10,10
Kaupallliset haut,65,60,10,15,5,5,10,5
Mikä on,100,90,5,85,5,5,5,5
Suomalaiset henkilöt,35,35,10,10,10,10,25,10
Televisio-ohjelmat,100,20,75,10,5,5,10,5
Ulkomaalaiset henkilöt,20,10,10,10,5,5,15,10
Urheilu,70,20,20,15,60,15,30,15
Viihde,70,45,25,30,55,25,25,30
Yhteiskunta,65,45,35,45,25,30,40,25
Acteurs,45,25,15,25,10,15,10,20
Comment,125,60,65,60,5,60,5,5
Emissions TV,30,25,10,25,10,10,10,25
Evénements culturels,25,25,10,20,5,10,5,15
Evénements sportifs,230,195,195,185,185,190,35,5
Jeux Vidéo,30,20,10,5,5,10,10,5
Personnalités Politiques,15,5,10,5,5,5,5,5
Pourquoi,75,45,10,25,30,5,45,5
Events of 2014,60,40,40,35,15,35,10,15
Ghallywood Stars,100,40,10,40,5,5,15,5
Ghanaian Musicians,60,50,35,50,35,30,5,30
Mobile Phones,165,160,125,65,40,125,20,60
Sport Personalities,20,10,10,10,10,10,15,10
Who is ...,25,20,10,10,5,10,5,5
"Ταχύτερα αυξανόμενες αναζητήσεις γεγονότων/ Events, trending",30,20,5,10,10,5,10,5
